trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
97,False,"{'a': 0.01, 'e': 0.38104711810454966}",30,20,12.201797349957133,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37723664692350417}",30,21,2.9460357304730445,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.37346428045426916}",25,10,27.025612753714725,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36972963764972644}",30,3,21.189271069030127,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3660323412732292}",20,0,-29.934101109792735,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.3623720178604969}",25,0,-62.206448155801326,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.3587482976818919}",35,5,28.00255164449138,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.355160814705073}",25,2,7.046230998174253,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.35160920655802225}",20,0,-30.097116809629732,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.348093114492442}",20,0,-36.874324649945684,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.3446121833475176}",20,0,-29.482123413085187,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.34116606151404244}",20,13,11.689023671793263,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.337754400898902}",30,15,-93.82630144435194,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 2}",1
110,False,"{'a': 0.01, 'e': 0.334376856889913}",20,12,13.351025963833772,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.33103308832101386}",25,17,5.2264656732288435,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.3277227574378037}",25,7,16.79250343024935,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.3244455298634257}",25,0,-63.228804436525394,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.3212010745647914}",20,2,29.191315050722153,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.3179890638191435}",25,8,20.07581098630861,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.31480917318095203}",25,0,-68.5956453606944,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
117,False,"{'a': 0.01, 'e': 0.3116610814491425}",20,0,6.694244489780323,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.30854447063465107}",20,3,24.426418974837595,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3054590259283046}",30,23,11.701623785328952,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.30240443566902153}",25,13,6.275604395806365,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.2993803913123313}",30,10,-4.499958008218575,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.296386587399208}",25,2,-10.112375871945362,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.2934227215252159}",20,0,-20.605385911907135,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.29048849430996376}",30,13,1.4940811372477227,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.2875836093668641}",25,14,11.362597578214569,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.28470777327319546}",30,14,-28.035531409381782,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.2818606955404635}",25,14,16.575245603224577,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.27904208858505886}",25,8,34.662077569116775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2762516676992083}",25,13,-3.7244861145445682,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2734891510222162}",25,14,3.1257850485778587,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.01, 'e': 0.27075425951199406}",20,6,-16.644068268053193,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2680467169168741}",25,10,27.299559594751763,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26536624974770534}",35,13,-25.594594252813526,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.2627125872502283}",20,9,9.686222554716032,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.26008546137772603}",25,12,22.896110117854143,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.25748460676394874}",30,14,-16.562557684398417,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.2549097606963093}",20,16,6.720134629814363,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.2523606630893462}",25,18,12.14698610576453,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.2498370564584527}",20,7,10.854237077977881,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24733868589386818}",25,11,13.243013186646362,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.24486529903492948}",25,3,32.15531420798951,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.2424166460445802}",20,12,13.015124704775083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.2399924795841344}",20,8,23.146419750590812,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23759255478829303}",30,12,18.8897344137389,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23521662924041012}",30,19,7.935025013712301,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.232864462948006}",25,14,-12.073058475097998,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.23053581831852593}",20,16,6.160104105997572,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22823046013534068}",20,0,7.001897534780171,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.22594815553398728}",35,3,-66.29574286567203,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 2}",1
150,False,"{'a': 0.01, 'e': 0.2236886739786474}",20,10,11.373669141863099,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.22145178723886091}",20,7,20.732079070055367,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.2192372693664723}",25,0,-45.84835465341095,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.01, 'e': 0.21704489667280757}",20,9,-1.2182394517475994,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.2148744477060795}",30,12,9.048996711122376,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.2127257032290187}",20,3,28.28878774813547,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21059844619672852}",20,5,23.368022269980173,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.01, 'e': 0.20849246173476124}",30,6,8.144592775865437,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.2064075371174136}",25,13,12.359183233443277,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.2043434617462395}",25,4,-90.07607415786887,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 3}",1
160,False,"{'a': 0.01, 'e': 0.2023000271287771}",20,9,-24.29924748096988,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.01, 'e': 0.2002770268574893}",25,17,13.462682543656609,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19827425658891443}",25,1,32.534964961134094,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19629151402302528}",20,6,22.009517823587412,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19432859888279502}",30,15,12.736805552179009,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19238531289396707}",20,5,15.86630844905578,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1904614597650274}",30,18,8.484370363403881,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1885568451673771}",35,8,14.963775449858375,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18667127671570335}",20,16,8.177654073424412,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.1848045639485463}",20,10,7.218229004177502,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18295651830906084}",20,0,-12.499293651441134,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
171,False,"{'a': 0.01, 'e': 0.18112695312597024}",25,10,19.70414096346256,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17931568359471053}",25,14,18.92891485271297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17752252675876343}",20,0,-38.404601260025146,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
174,False,"{'a': 0.01, 'e': 0.1757473014911758}",30,6,20.53152319184406,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.173989828476264}",20,4,24.90553780386689,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.1722499301915014}",30,16,21.014163661314598,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17052743088958636}",25,11,26.121238264304246,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1688221565806905}",20,6,19.564666468617766,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1671339350148836}",20,16,9.102680340560081,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16546259566473476}",25,5,28.54809740549623,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16380796970808742}",25,15,-22.79002057532641,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
182,False,"{'a': 0.01, 'e': 0.16216989001100654}",30,11,5.81674842822115,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.16054819111089647}",35,5,35.64874479301253,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
